article,subpoint,criteria_text,keywords,quantitative_params
2,2,санированные полости; фиброторакс,полость,{}
2,2,плевропневмосклероз с бронхоэктазами; массивные плевральные наслоения шириной более 1 сантиметра (с кальцинацией плевры или без нее),склероз,"{""size_cm"": 1.0, ""size_cm_more_than"": 1.0, ""count_more_than"": 1}"
2,2,"изменения после пульмонэктомии, торакопластики, плевроэктомии, кавернотомии, экстраплеврального пневмолиза; сочетания двух и более признаков, характерных для малых остаточных изменений, объективизированные обзорными рентгенограммами и (или) рентгентомограммами.",каверна,{}
2,3,"туберкулез органов дыхания после успешно проведенного стационарного этапа лечения (не менее трех месяцев) при достижении клинико-рентгенологического благополучия: прекращения бактериовыделения, закрытия полостей распада, исчезновения симптомов интоксикации, рассасывания инфильтрации в легких и резорбции жидкости в плевральной полости; клинически излеченный туберкулез органов дыхания после окончания основного курса лечения","бактериовыделение, полость, распад, туберкулез","{""bacteria_excretion"": true, ""decay"": true}"
2,3,"последствия хирургического лечения (после резекции 2-х и более сегментов либо доли), без дыхательной недостаточности; большие остаточные изменения легких и плевры без дыхательной недостаточности. При наличии серозитов туберкулезной этиологии (эксудативный плеврит, перикардит, полисерозит) освидетельствование проводится с учетом результатов цитологического, иммунологического, микробиологического исследований и биопсии. Туберкулезная этиология сухих плевритов доказывается методами туберкулино- и иммунодиагностики, пробным лечением и динамикой лабораторных показателей, ультразвуковым исследованием плевральной полости. Данный подпункт используется для лиц, освидетельствуемых по графам I, II, при наличии или отсутствии остаточных изменений легких и плевры в ближайшие три года после завершения основного курса лечения. Граждане (военнослужащие), перенесшие серозиты туберкулезной этиологии, с положительной клинико-рентгенологической динамикой освидетельствуются по подпункту 4) пункта 2 Требований по графам на основании заключения ВКК, после снятия с диспансерного учета. При неэффективности лечения или отказе от него военнослужащие освидетельствуются по подпункту 2) настоящего пункта. Освидетельствуемые по графе II представляются на ВВК после установления окончательного диагноза и лечения, стабилизации процесса независимо от характера, течения и исхода, не ранее, чем через три месяца.","дыхательный, недостаточность, плеврит, полость, туберкулез",{}
2,4,К малым остаточным изменениям относятся: малые остаточные изменения первичного генеза - единичные (четыре и менее) компоненты первичного комплекса (очаг Гона и кальцинированные лимфатические узлы) размером менее 1 сантиметра,,"{""size_cm"": 1.0, ""size_cm_less_than"": 1.0, ""count_less_than"": 1}"
2,4,единичные (четыре и менее) интенсивные четко очерченные очаги размером менее 1 сантиметра; ограниченный фиброз в пределах двух сегментов,фиброз,"{""size_cm"": 1.0, ""size_cm_less_than"": 1.0, ""count_less_than"": 1}"
2,4,"запаянные синусы, междолевые шварты, плевродиафрагмальные и плевромедиастинальные сращения, плевроапикальные и плеврокостальные наслоения шириной до 1 сантиметра (с кальцинацией плевры или без нее) одно- или двусторонние. К данному подпункту также относятся последствия резекции сегмента легкого, либо его атипичной резекции, без дыхательной недостаточности. Медицинское переосвидетельствование граждан, переболевших туберкулезом, проводится при снятии их с диспансерного учета, не ранее чем через три года после окончания основного курса лечения. Наличие единичных мелких петрификатов (не более трех) в легких или внутригрудных лимфатических узлах не является основанием для применения настоящего пункта, не препятствует прохождению воинской службы, поступлению в ВУЗ.","дыхательный, недостаточность, туберкулез","{""size_cm"": 1.0, ""size_cm_up_to"": 1.0}"
3,1,"генерализованный туберкулез с сочетанным поражением различных органов и систем, независимо от характера течения, давности и исхода; туберкулез глаз с прогрессирующим снижением зрительных функций",туберкулез,{}
3,1,распространенные и обезображивающие формы туберкулеза кожи; туберкулез мочеполовых органов с распадом и (или) бактериовыделением,"бактериовыделение, зоб, распад, туберкулез","{""bacteria_excretion"": true, ""decay"": true}"
3,1,"прогрессирующий туберкулез вне зависимости от локализации; метатуберкулезный нефросклероз, остаточные изменения и последствия перенесенного туберкулеза органов мочевыделительной системы, отсутствие одной почки после ее удаления при нарушении функции оставшейся почки, последствия хирургического лечения почек и мочевыводящих путей при наличии хронической почечной недостаточности или значительного нарушения выделительной функции","недостаточность, почечный, склероз, туберкулез",{}
3,1,"рубцовые изменения мочевого пузыря со значительным нарушением мочеиспускания; отсутствие обоих яичек, удаленных по поводу туберкулеза.",туберкулез,{}
3,2,"активный ограниченный туберкулез позвоночника, костей и суставов, мочеполовых органов и другой внегрудной локализации до затихания процесса; активный туберкулез периферических лимфоузлов без распада, свищей и бактериовыделения","бактериовыделение, распад, туберкулез","{""bacteria_excretion"": true, ""decay"": true}"
3,2,"остаточные явления или последствия перенесенного туберкулеза органов мочевыделительной системы, последствия хирургического лечения туберкулеза почек и мочевыводящих путей, сопровождающиеся умеренным нарушением выделительной функции почек и мочеиспускания; последствия хирургического лечения туберкулеза с умеренным нарушением их функции.",туберкулез,{}
3,3,При неэффективности или отказе от лечения военнослужащие освидетельствуются по подпункту 1) или 2) пункта 3Требований по графам.,,{}
3,4,Заключение ВВК в отношении граждан (военнослужащих) с внегрудной локализацией туберкулеза выносится также на основании пунктов требовании по графам в зависимости от функции пораженного органа или системы.,туберкулез,{}
3,5,"Военнослужащим, проходящим воинскую службу по контракту, предоставляется отпуск по болезни до 60 календарных суток для продолжения лечения в амбулаторных условиях под наблюдением врача-фтизиатра с последующим медицинским освидетельствованием ВВК.",,{}
4,,"Граждане при приписке к призывным участкам, призыве на срочную воинскую службу, военнослужащие, в семье которых соответствующей организацией здравоохранения зарегистрирован больной лепрой, признаются негодными к воинской службе с исключением с воинского учета. Граждане, имеющие в анамнезе несемейный контакт с больным лепрой, направляются на обследование и при отсутствии заражения признаются годными к воинской службе.",,{}
5,,"Болезнь, вызываемая вирусом иммунодефицита человека (ВИЧ). Граждане при приписке к призывным участкам, призыве на срочную воинскую службу, поступлении на воинскую службу по контракту, в ВУЗ, а также военнослужащие при выявлении у них ВИЧ-инфекции признаются негодными к воинской службе.","вич, иммунодефицит, вирус, инфекция",{}
6,,"Граждане при первоначальной постановке на воинский учет, призыве на воинскую службу или поступлении на воинскую службу по контракту, а также военнослужащие в случаях выявления у них инфекций, передающихся преимущественно половым путем, подлежат лечению. После успешного лечения и снятия с диспансерного учета они признаются годными к воинской службе. При хронических или осложненных формах венерических уретритов граждане при призыве на срочную воинскую службу или поступлении на воинскую службу по контракту и в ВУЗ признаются временно не годными к воинской службе на шесть месяцев, если для завершения лечения требуется срок до шести месяцев, а при первичном, вторичном или скрытом сифилисе признаются временно негодными к воинской службе на двенадцать месяцев. Критерием излеченности гонореи и сифилиса считается разрешение клинических признаков венерического заболевания, наличие трехкратного отрицательного результата при лабораторном контроле и снятие с диспансерного учета. Если через двенадцать месяцев после полноценного лечения сифилиса негативация классических серологических реакций не наступила, освидетельствование проводится по подпункту 2) пункта 6 Требований по графам. При поражении сифилисом внутренних органов, костей, нервной системы в зависимости от степени нарушения их функций освидетельствование проводится по соответствующим пунктам требований по графам.",сифилис,{}
7,,"Военнослужащие, страдающие дерматофитиями, подлежат лечению, по завершении которого они признаются годными к воинской службе. Диагноз микоза подтверждается лабораторными исследованиями. Военнослужащие со злокачественными новообразованиями независимо от формы, характера течения и исхода лечения, направляются на медицинское освидетельствование для определения годности к воинской службе не позднее четырех месяцев с момента установления диагноза.","злокачественный, новообразование, рак",{}
8,1,злокачественные новообразования костей и суставных хрящей независимо от распространения и стадии; злокачественные новообразования органов и мягких тканей с отдаленными метастазами после нерадикального хирургического лечения или прогрессирование заболевания после ранее проведенного лечения,"злокачественный, метастаз, новообразование",{}
8,1,случаи отказа больного от лечения злокачественного образования независимо от стадии и распространения опухоли.,"злокачественный, опухоль",{}
8,2,"рубцы после радикального лечения злокачественных опухолей нижней губы или кожи; состояния после радикального лечения злокачественных новообразований (кроме костей, суставных хрящей) органов и мягких тканей, в том числе с регионарными метастазами. Военнослужащим, проходящим воинскую службу по контракту и освидетельствуемым в связи с предстоящим увольнением с воинской службы по достижении предельного возраста или по организационно-штатным мероприятиям, заключение выносится по подпункту 1) пункта 8 Требований по графам независимо от локализации, стадии и распространения злокачественного процесса, а также времени начала заболевания. Исключением являются случаи радикального лечения рака нижней губы, кожи без метастазов, тогда данная категория военнослужащих освидетельствуется по подпункту 2) пункта 8 Требований по графам. После завершения стационарного лечения больным со злокачественными новообразованиями, освидетельствуемым по графе III-IV, по подпункту 3) пункта 8 Требований по графам предоставляется отпуск по болезни.","злокачественный, метастаз, новообразование, рак",{}
9,2,"Военнослужащим, проходящим воинскую службу по контракту и освидетельствуемым в связи с предстоящим увольнением с воинской службы по достижении предельного возраста, по организационно-штатным мероприятиям, заключение выносится по подпункту 1) пункта 9 Требований по графам независимо от локализации, стадии и распространения злокачественного процесса, а также времени начала заболевания.","злокачественный, рак",{}
9,3,Заключение о необходимости предоставления отпуска по болезни выносится после проведения только первого курса лучевой или цитостатической терапии.,,{}
10,1,доброкачественные новообразования эндокринных (кроме щитовидной) желез в состоянии клинико-гормональной декомпенсации на фоне медикаментозной терапии; доброкачественные новообразования верхних дыхательных путей со значительным нарушением функций дыхания и (или) голосообразования,"доброкачественный, дыхательный, новообразование, эндокринный",{}
10,1,"доброкачественные новообразования средостения со значительными клиническими проявлениями (смещение, сдавление органов грудной клетки); доброкачественные новообразования органов дыхания, сопровождающиеся выраженными клиническими проявлениями (кровохарканьем, бронхостенозом или ателектазом)","доброкачественный, новообразование",{}
10,1,"доброкачественные новообразования органов пищеварения, сопровождающиеся упадком питания или значительно затрудняющие акт глотания и прохождения пищи; доброкачественные новообразования кожи, подлежащих тканей, кровеносных или лимфатических сосудов, не позволяющие ношение военной формы одежды, обуви или снаряжения","доброкачественный, новообразование",{}
10,1,"доброкачественные новообразования костной и хрящевой ткани, не позволяющие ношение военной формы одежды, обуви или снаряжения, либо значительно нарушающее функцию близлежащего органа или системы; доброкачественные новообразования мочеполовой системы с выраженными дизурическими расстройствами или сопровождающиеся рецидивирующим кровотечением","доброкачественный, кровотечение, новообразование",{}
10,1,"доброкачественные новообразования молочной железы (фиброаденомы, внутрипротоковые папилломы, кисты, липомы), женских половых органов со значительным нарушением функций органа, при неудовлетворительных результатах оперативного лечения.","доброкачественный, новообразование",{}
10,2,новообразование insitu; доброкачественные новообразования эндокринных (кроме щитовидной) желез в состоянии клинико-гормональной компенсации на фоне медикаментозной терапии,"доброкачественный, новообразование, эндокринный",{}
10,2,доброкачественные новообразования средостения с нарушением функций органа; доброкачественные новообразования органов дыхания с умеренными клиническими проявлениями,"доброкачественный, новообразование",{}
10,2,"доброкачественные новообразования органов пищеварения с умеренными клиническими проявлениями без упадка питания; доброкачественные новообразования кожи, подлежащих тканей, кровеносных или лимфатических сосудов, затрудняющие ношение военной формы одежды, обуви или снаряжения","доброкачественный, новообразование",{}
10,2,"доброкачественные новообразования костной и хрящевой ткани, затрудняющие ношение военной формы одежды, обуви или снаряжения, либо умеренно нарушающее функцию близлежащего органа или системы; доброкачественные новообразования длинных трубчатых костей, после удаления, которых дефект костной ткани будет составлять половину или более диаметра кости","доброкачественный, новообразование",{}
10,2,"доброкачественные новообразования мочеполовой системы с умеренными дизурическими расстройствами. К подпункту 2) настоящего пункта также относятся доброкачественные новообразования молочной железы и женских половых органов требующие оперативного лечения, при отказе от него, в том числе: миомы матки при размерах, соответствующих 12-недельной беременности и более, рецидив миомы матки, либо миомы, сопровождающиеся кровотечениями, приводящими к анемии, а также при наличии субмукозных или субсерозных узлов с нарушением их кровоснабжения, быстрым ростом (увеличение опухоли до размеров, соответствующих более пяти неделям беременности за год).","анемия, доброкачественный, кровотечение, новообразование, опухоль","{""pregnancy_weeks"": 12}"
10,3,доброкачественные новообразования эндокринных (кроме щитовидной) желез без гормональных нарушений; доброкачественные новообразования верхних дыхательных путей с незначительным нарушением функций дыхания и (или) голосообразования,"доброкачественный, дыхательный, новообразование, эндокринный",{}
10,3,доброкачественные новообразования средостения с незначительными клиническими проявлениями; доброкачественные новообразования органов дыхания с незначительными клиническими проявлениями,"доброкачественный, новообразование",{}
10,3,"доброкачественные новообразования органов пищеварения с незначительными клиническими проявлениями, сопровождающиеся диспептическими расстройствами; доброкачественные новообразования мочеполовой системы с незначительными дизурическими расстройствами","доброкачественный, новообразование",{}
